C,a,t,e,g,o,r,y,Category,CaptionText
O,T,H,E,R,S,,,OTHERS,~Bye Singapore~#travel2014#beforeschoolopens#family#vietnam#hochinminh
E,U,,,,,,,EU,"Christmas 
#instaboy #instalike #instachile #christmas #navidad #travel2014 #nice #likeforlike #like4like"
O,T,H,E,R,S,,,OTHERS,Otra de #santorini #grecia #travel2014 #mochileros #love #esposos #sunglass #oakley #rayban #relax #faraway
O,T,H,E,R,S,,,OTHERS,#santorini #grece #grecia #europa #esposos #love #travel2014 #mochileros un poquito lejos las casitas blancas con techo azul!
A,M,E,R,I,C,A,,AMERICA,Merry Christmas indeed! My Japan travel would not be complete without a Louis Vuitton from Mom! Arigato okasan!! #japan #jossa #japanjapan #xmasvacay #travel2014
A,M,E,R,I,C,A,,AMERICA,I'm dreaming of a white Christmas #Christmas2014 #USA #wanderlust #bucketlist #travel2014 #winter #ootd
A,M,E,R,I,C,A,,AMERICA,Merry Christmas to all my family and friends near and far! Hope you all have a wonderful time over the holidays!! #Lego #Christmas #XmasinAus2014 #travel2014 #fun #Sydney
A,P,A,C,,,,,APAC,#iphone5s #iphonephotos #iphonephotography #travelPH #travel2014 #Manila #Cebu #BantayanIsland #IslandHopping #travel #travelphotos #cute #animals #bunnies #vacation #islands #wanderlust #province #Visayas #NaturePark #VirginIslands
E,U,,,,,,,EU,"Merry Christmas ! #Christmas #London #UK #travel2014 
#feliznatal #bigben"
A,M,E,R,I,C,A,,AMERICA,#poachedegg for #brunch #denmanst #vancouver #canada #BC #travel2014
A,P,A,C,,,,,APAC,Always take the high road and gain a better perspective. #iphone5s #iphonephotos #iphonephotography #travelPH #travel2014 #Manila #Tagaytay #TagaytayHighlands #travel #travelphotos #mountainclimbing #mountaintop #adventure #greatview #wanderlust #Philippines #nature
A,M,E,R,I,C,A,,AMERICA,#vancouver #canada #BC #vancity #travel2014
A,M,E,R,I,C,A,,AMERICA,#vancouver #canada #BC #vancity #travel2014 #englishbay
A,P,A,C,,,,,APAC,The sun sets so it can rise again. #nofilter #iphone5s #iphonephotos #iphonephotography #travelPH #travel2014 #Cebu #BantayanIsland #sunset #wanderlust #boatride
