Id,CaptionText,Category
1,Vitamin Sea please..??? #beach #palawan #elnido #philippines #vacation2014     #march #beachbum #biglagoon #summer,APAC
2,NYC !!  #Remember #NYC #Summer   #Love #Instagood #Night #Holiday,AMERICA
3,#sunset#rethymnon#crete#beautiful #travel_greece#beach#beachday#instalike#insta#photoshoot,EU
4,This week is the full bloom week for Sakura flowers in Tokyo and Kyoto  Japan. Of course  my body is here but my soul is there seating on the bench  drinking ocha (cant drink sake )  looking at falling petals kissed by a gentle breeze...*siiiiiiiigh*.   #traveljapan #love #sakura #mykampung #mykindofscenery #cherryblossom #toyama #visitjapan #cherryblossom #spring #cominghome #nature #natureandart #ig_nature #bloom,APAC
5,Colombiaa    #Viaje #Instashot #Video #Colombia,AMERICA
6,Hmmm... Errr... Random? Bird house maybe at the Hobbitton   s village. Really have no idea where could I travel for the long weekend during May.. Every place locally are fully booked and I really need a dang break. Should surprise my self waking up in Perth      #travelnewzealand #somewhere #randomobject #dilemma #entah,APAC
7,It would be much easier to get up today if it looked like this outside. . . #secretbeach #hiddencove #turkey  ,EU
8,I forgot about this picture hidden in thousands of my travel pictures. Somewhere at the Hobbits movie set at Mata mata. Lonely tree and a rainbow friend.. A sight to behold     #travelthrowback #travelnewzealand #matamata #hobbiton #filmset #acehworld #tree #nature #natureandart #mykindofscenery #scenery #ig_nature #ig_landscape #newzealand. #green #rainbow,APAC
9,Bonjour from Paris! I   ve dropped out of school to travel the world for a year. First stop  Paris! #hotelroom   #adventuretime #lovemylife ,EU
10,My very reason why I keep on traveling and my very excuse everytime I ask permission!!! WORK HARD! SAVE HARD! TRAVEL HARD!   #exploretheworld #trip #wanderlust #totravelistolive     #bavstravel #bavsicle ,OTHERS
11,Take me back  #Caramoan #Camsur #Philippines #breeze #waves   #igers #life,APAC
12,Latepost#ujunggenteng#sukabumi#indonesia #whitesand#bluewave#lovely#goodscenary#,APAC
13,A cloudy morning! Gonna miss you all!    #cebupac #21DayBreak #Anniv #AprilFools #tawitawi   #Throwback,APAC
14,I would love to wear a proper kimono and take a walk along the kiyomezudera temple park like them    #travellingfriends #travelbuddies   #autumn #koyo #traditional #kimono #kiyomezudera #temple #kyoto #path #mykampung #missthis,APAC
15,Palace of Versailles  Paris | Inside its garden. Love the view  #throwback lagi on Monday Blues  #leefrangoulissolotrip #leefrangoulisgoestravel #leefrangoulisgoestravel2014   #TheGlobeWanderer #paris #palaceofversailles #chateaudeversailles #france,EU
16,LONDON | #throwback on Monday Blues  #leefrangoulissolotrip #leefrangoulisgoestravel #leefrangoulisgoestravel2014 #london #thamesriver #river #landscape   #TheGlobeWanderer,EU
17, #Korea#ViewFromTopOfTheHill#SeongsanIlchulbongPeak#JejuKorea.....,APAC
18,### ##########,OTHERS
19,H2O in west Iceland. #water #drink #hike     #mates #goodtimes #iceland #west #,EU
20,The unique tree trunk that we cant resist. Our memories at Amanohashidate 3.3 km walk on the sandbar from one end to other. #travellingfriends #amanohashidate #kyoto #japan #traveljapan   #friends #nakama #tomodachi,APAC
21,remarkable ceiling at Venetian #tb   #Macau,APAC
22,Rooftop views of Barcelona from Casa Batll. #casabatll #gaudi #antonigaudi #rooftopviews #barcelona #BCN #BCNinspira #explorebarcelona #explorespain #espana #spain     #fujifilm #x30,EU
23,the good ol    days #tb   #baguiodays #collegefriends,APAC
24,Dalam hati ada taman  #throwback #tulip #garden #keukenhof #TheGlobeWanderer #leefrangoulissolotrip #leefrangoulisgoestravel #leefrangoulisgoestravel2014   #mysolotrip2014,EU
25,Buon Giorno! Rome Italy  #wanderlust #fernweh        #italy #rome,EU
26,Lucerne  Switzerland  #lookdownpose     #wanderlust #fernweh #switzerland #lucerne,EU
27,  #3D #Art #Museum #Fun #Interactive #GeorgeTown #Explore #RoadTrip #Penang #Malaysia #,APAC
28,Flashbackfriday  Lake of dreams  singapore.   #singapore #singapore2014 #sg2014 #sentosa #sg #babalikako #waitlng #walangpera,APAC
29,#InstaSize,OTHERS
30,Monaco is Nice /see you soon again  throughmylens   #photography #instaview,EU
31,Throwback to this beautiful sunset from the rooftop pool of Hotel Jazz in Barcelona Catalonia Spain. #tbt #throwbackthursday #hoteljazz #Barcelona #BCN #BCNinspira #explorebarcelona #explorespain     #architecture #cityphotos #lovebcn #sunset #picoftheday #fujifilm #x30 #sunsets #barcelonasunset,EU
32,#Caluwayan #Marabut #Samar     ,APAC
33,Chiang Mai Lantern Festival  Teaser. #lantern #festival #tradition #people #performance #thailand #city #festivities #asia #lights #yipengfestival #instavid     #sonyA7S,APAC
34,TBT time! :) #shanghai #china  ,APAC
35,  #trip #wow #nice #happy #happyday #happygirl #love #likes #ok #Italy   #travelitaly #travel_italy #rimini # # #beauty #beautiful #bestmoments #bigtraveller #bestmoments2014 #livebeautifully #ciao,EU
36,#wheninparis #disneyland #paris #france #mickeymouse #waltdisney #pinoy  ,EU
37,#wheninparis #imissparis #louisvuitton #firststore #parisfrance   #europetour2014 #latepost #instasize,EU
38,I wanna fly again... see the world  #throwback #leefrangoulisgoestravel #leefrangoulisgoestravel2014 #paris #leefrangoulissolotrip #eiffeltower #paris #TheGlobeWanderer  ,EU
39,#tacettindergah #MuhsinYazicioglunun kabri #Ankara #hamamn #ziyaret #dua   #rahmetvezlemile #devletadam #davaadam #memleketsevdals #alperen #KocaReis #ehadet #25Mart2009 #yoruz,APAC
40,A creative take on a photo I took from the roof of Casa Batllo in Barcelona Spain #creative #design #art #fineart #casabatllo #barcelona #spain #bcn #BCNinspira     #travelspain #gaudi #antonigaudi #trips #trips2014 #picoftheday #graphicdesign #explorebarcelona,EU
41,A selfie through the streets of Barri Gtic in Barcelona Catalonia Spain. Missing these quaint streets right now. #selfie #barcelona #barrigtic #BCN #BCNinspira #explorebarcelona #catalonia #espana     #explorespain #espana #lovebarcelona #travelselfie #fujifilm #x30 #fujifilmxseries #xseries #travelphoto #historybuff #missthisplace #lovebarcelona  #catalunya #catalonia #streetphotography #gothicquarter,EU
42,Mais uma lembrana de viagem :) #uruguay #uruguai     #viagem #coloniadelsacramento #lembrana,AMERICA
43,Magic place.  #onceuponatimeinyogyakarta  ,APAC
44,city market #Macau #tb  ,APAC
45,1st International trip  #Macau #tb  ,APAC
46,   #macau   #hackett #macautower #skywalk say No to digestive upset,APAC
